x[0] 		x[1] 		x[2] 		 Norma
0.087933 	0.113018 	0.009751 	0.000966
0.087909 	0.112999 	0.009757 	0.002885
0.087908 	0.112996 	0.009750 	0.000963
0.087890 	0.112978 	0.009739 	0.002751
0.087887 	0.112976 	0.009745 	0.000972
0.087859 	0.112954 	0.009750 	0.003103
0.087858 	0.112951 	0.009743 	0.000948
0.087847 	0.112939 	0.009735 	0.002192
0.087843 	0.112937 	0.009740 	0.001077
0.087465 	0.112589 	0.009649 	0.012104
0.087458 	0.112589 	0.009674 	0.000883
0.087454 	0.112588 	0.009681 	0.000906
0.087445 	0.112582 	0.009686 	0.001682
0.087443 	0.112578 	0.009680 	0.001210
0.087422 	0.112561 	0.009686 	0.002683
0.087421 	0.112559 	0.009680 	0.000969
0.087396 	0.112534 	0.009666 	0.003191
0.087392 	0.112532 	0.009673 	0.000933
0.087380 	0.112523 	0.009678 	0.002068
0.087378 	0.112519 	0.009672 	0.001091
0.087231 	0.112393 	0.009675 	0.007355
0.087232 	0.112390 	0.009659 	0.000858
0.087231 	0.112387 	0.009652 	0.000967
0.087206 	0.112362 	0.009639 	0.003194
0.087202 	0.112361 	0.009646 	0.000929
0.087190 	0.112351 	0.009651 	0.002052
0.087188 	0.112348 	0.009645 	0.001090
0.087073 	0.112249 	0.009648 	0.006487
0.087074 	0.112246 	0.009634 	0.000882
0.087072 	0.112243 	0.009628 	0.001070
0.086784 	0.111991 	0.009620 	0.010326
0.086787 	0.111988 	0.009597 	0.000890
0.086786 	0.111985 	0.009590 	0.000927
0.086777 	0.111974 	0.009581 	0.002076
0.086772 	0.111972 	0.009586 	0.001075
0.086625 	0.111832 	0.009542 	0.007598
0.086620 	0.111831 	0.009557 	0.000844
0.086616 	0.111830 	0.009562 	0.000952
0.086590 	0.111808 	0.009568 	0.003060
0.086589 	0.111805 	0.009561 	0.000928
0.086578 	0.111794 	0.009553 	0.002149
0.086574 	0.111791 	0.009558 	0.001055
0.086252 	0.111489 	0.009478 	0.011166
0.086245 	0.111489 	0.009502 	0.000873
0.086241 	0.111488 	0.009508 	0.000908
0.086230 	0.111480 	0.009513 	0.001910
0.086228 	0.111476 	0.009507 	0.001099
